company_name,domain,funding_usd,status,sector,shutdown_date,notes
mywaves,mywaves.com,$6.0M,closed,media,,Market: Video; USA; Source: Crunchbase
Ohai,ohai.com,$6.0M,closed,gaming,,Market: Games; Source: Crunchbase
PAX Streamline,paxstreamline.com,$6.0M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
Power Analog Microelectronics,poweranalog.com,$6.0M,closed,hardware + software,,Market: Hardware + Software; USA; Source: Crunchbase
SDL Enterprise Technologies,idiominc.com,$6.0M,closed,saas,,Market: Software; USA; Source: Crunchbase
Silistix,silistix.com,$6.0M,closed,hardware,,Market: Semiconductors; GBR; Source: Crunchbase
SIPphone,sipphone.com,$6.0M,closed,saas,,Market: Software; USA; Source: Crunchbase
TARGET BRAZIL,target-brl.com,$6.0M,closed,ecommerce,,Market: E-Commerce; Source: Crunchbase
Tinselvision,paidcontent.org,$6.0M,closed,curated web,,Market: Curated Web; Source: Crunchbase
Tongxue,tongxue.com,$6.0M,closed,sns,,Market: SNS; Source: Crunchbase
Movero Technology,moverotech.com,$6.0M,closed,saas,,Market: Enterprise Software; USA; Source: Crunchbase
BVfon Telecommunication,bvfon.hu,$6.0M,closed,hardware + software,,Market: Hardware + Software; HUN; Source: Crunchbase
Starburst Coin Machines,starburstcoin.com,$6.0M,closed,gaming,,Market: Games; CAN; Source: Crunchbase
Blade Games World,jumala.com,$5.9M,closed,gaming,,Market: Games; USA; Source: Crunchbase
Pikum,pikum.com,$5.9M,closed,gambling,,Market: Gambling; GBR; Source: Crunchbase
Cloudcity,cloudcityukltd.com,$5.9M,closed,curated web,,Market: Curated Web; GBR; Source: Crunchbase
hint,hint.io,$5.9M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
LeisureLogix,roadescapes.com,$5.9M,closed,maps,,Market: Maps; USA; Source: Crunchbase
Pittsburgh Center for Kidney Research,kidneycenter.pitt.edu,$5.8M,closed,edtech,,Market: Education; Source: Crunchbase
RocketOn,rocketon.com,$5.8M,closed,saas,,Market: Software; USA; Source: Crunchbase
iNEWiT,inewit.be,$5.8M,closed,hardware + software,,Market: Hardware + Software; BEL; Source: Crunchbase
FamilyFinds,familyfinds.com,$5.8M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
T-Networks,tnetworksinc.com,$5.8M,closed,public relations,,Market: Public Relations; USA; Source: Crunchbase
WeShop,weshop.com,$5.8M,closed,curated web,,Market: Curated Web; Source: Crunchbase
YellowDog Media,yardsellr.com,$5.8M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
Origen Therapeutics,origentherapeutics.com,$5.7M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
UpCompany,rakedin.com,$5.7M,closed,curated web,,Market: Curated Web; Source: Crunchbase
SimulScribe,simulscribe.com,$5.7M,closed,messaging,,Market: Messaging; USA; Source: Crunchbase
Corepair,corepair.com,$5.7M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
GET Holding NV,emerce.nl,$5.7M,closed,saas,,Market: Enterprise Software; NLD; Source: Crunchbase
Numara Software France,criston.com,$5.7M,closed,saas,,Market: Software; FRA; Source: Crunchbase
coComment,cocomment.com,$5.6M,closed,blogging platforms,,Market: Blogging Platforms; CHE; Source: Crunchbase
Dr Sears Family Essentials,drsearsfamilyessentials.com,$5.6M,closed,hospitality,,Market: Hospitality; USA; Source: Crunchbase
Food Quality Sensor International,fqsinternational.com,$5.6M,closed,hardware + software,,Market: Hardware + Software; USA; Source: Crunchbase
Happyshop,happyshop.com,$5.6M,closed,online reservations,,Market: Online Reservations; CHL; Source: Crunchbase
MessageGate,messagegate.com,$5.6M,closed,messaging,,Market: Messaging; USA; Source: Crunchbase
Peek,peek.ly,$5.6M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
Oslo Software,oslo-software.com,$5.5M,closed,saas,,Market: Software; FRA; Source: Crunchbase
Elanti Systems,elantisystems.com,$5.5M,closed,saas,,Market: Software; USA; Source: Crunchbase
TalkPlus,talkplus.com,$5.5M,closed,messaging,,Market: Messaging; USA; Source: Crunchbase
Health Benefits Direct,healthbenefitsdirect.com,$5.4M,closed,fintech,,Market: Finance; USA; Source: Crunchbase
TRSB Groupe,trsb-groupe.fr,$5.3M,closed,services,,Market: Consulting; Source: Crunchbase
Power Efficiency,powerefficiencycorp.com,$5.3M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
"Orasi Medical, Inc.",orasimedical.com,$5.3M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
MediaScrape,mediascrape.com,$5.2M,closed,media,,Market: News; CAN; Source: Crunchbase
Plizy,plizy.com,$5.2M,closed,video streaming,,Market: Video Streaming; USA; Source: Crunchbase
smartfundit.com,smartfundit.com,$5.2M,closed,fintech,,Market: Finance; GBR; Source: Crunchbase
EnCoate,encoate.com,$5.1M,closed,biotech,,Market: Biotechnology; NZL; Source: Crunchbase
Sidecar.me,sidecar.me,$5.1M,closed,social network media,,Market: Social Network Media; USA; Source: Crunchbase
eDoorways International,edoorways.com,$5.1M,closed,saas,,Market: Software; USA; Source: Crunchbase
Lagotek,lagotek.com,$5.1M,closed,saas,,Market: Software; USA; Source: Crunchbase
Amtec,amtecinc.net,$5.0M,closed,services,,Market: Consulting; USA; Source: Crunchbase
Authenticlick,authenticlick.net,$5.0M,closed,analytics,,Market: Analytics; USA; Source: Crunchbase
betNOW,betnow.co.uk,$5.0M,closed,curated web,,Market: Curated Web; GBR; Source: Crunchbase
BiggerBoat,biggerboat.com,$5.0M,closed,adtech,,Market: Advertising; Source: Crunchbase
BO.LT,bo.lt,$5.0M,closed,social,,Market: Social Media; USA; Source: Crunchbase
Carbonetworks,carbonetworks.com,$5.0M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
ClearMesh Networks,clearmesh.com,$5.0M,closed,public relations,,Market: Public Relations; Source: Crunchbase
DigiSat Technology,digisat.com,$5.0M,closed,gaming,,Market: Games; HKG; Source: Crunchbase
eMinor,eminorinc.com,$5.0M,closed,saas,,Market: Software; USA; Source: Crunchbase
Five minutes,fminutes.com,$5.0M,closed,gaming,,Market: Games; CHN; Source: Crunchbase
Gamerizon Studio,gamerizon.com,$5.0M,closed,gaming,,Market: Games; CAN; Source: Crunchbase
gBox,en.wikipedia.org,$5.0M,closed,gift card,,Market: Gift Card; USA; Source: Crunchbase
Hollywood Interactive Group,myhollywood.com,$5.0M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
Hotelicopter,hotelicopter.com,$5.0M,closed,search,,Market: Search; USA; Source: Crunchbase
iZ3D,iz3d.com,$5.0M,closed,hardware + software,,Market: Hardware + Software; USA; Source: Crunchbase
LikeList,likelist.com,$5.0M,closed,coupons,,Market: Coupons; USA; Source: Crunchbase
Mercora,mercora.com,$5.0M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
milog,milog.co.jp,$5.0M,closed,android,,Market: Android; JPN; Source: Crunchbase
MoMelan Technologies,momelan.com,$5.0M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
OleOle,oleole.com,$5.0M,closed,world domination,,Market: World Domination; USA; Source: Crunchbase
Passbox,passbox.com,$5.0M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
PeerMe,peerme.com,$5.0M,closed,gaming,,Market: Games; USA; Source: Crunchbase
PlaceBlogger,placeblogger.com,$5.0M,closed,curated web,,Market: Curated Web; Source: Crunchbase
SandLinks,sandlinks.com,$5.0M,closed,public relations,,Market: Public Relations; USA; Source: Crunchbase
Speedshape,speedshape.com,$5.0M,closed,adtech,,Market: Advertising; USA; Source: Crunchbase
Sychron Advanced Technologies,sychron.com,$5.0M,closed,saas,,Market: Software; USA; Source: Crunchbase
Tapioca Mobile,tapiocamobile.com,$5.0M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
Union Spring Pharmaceuticals,unionspringspharmaceuticals.com,$5.0M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
UTILICASE,utilicase.com,$5.0M,closed,cleantech,,Market: Clean Technology; CAN; Source: Crunchbase
WeShow,idgnow.uol.com.br,$5.0M,closed,gaming,,Market: Games; USA; Source: Crunchbase
Whole Optics,whole-optics.com,$5.0M,closed,hardware,,Market: Semiconductors; ISR; Source: Crunchbase
Wis.dm,wis.dm,$5.0M,closed,social,,Market: Social Media; USA; Source: Crunchbase
Working Equity,equityprotection.com,$5.0M,closed,other,,USA; Source: Crunchbase
nlighten Technologies,nlighten.com,$5.0M,closed,hardware + software,,Market: Hardware + Software; USA; Source: Crunchbase
FetchDog,fetchdog.com,$4.9M,closed,pets,,Market: Pets; USA; Source: Crunchbase
.Fox Networks,dotfox.com,$4.9M,closed,adtech,,Market: Advertising; ARG; Source: Crunchbase
TeleFlip,teleflip.com,$4.9M,closed,messaging,,Market: Messaging; USA; Source: Crunchbase
Aceris 3D Inspection,aceris-3d.ca,$4.9M,closed,hardware,,Market: Semiconductors; CAN; Source: Crunchbase
Anthem Healthcare Intelligence,anthemhi.com,$4.8M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
ConnectSoft,connectsoft.net,$4.8M,closed,saas,,Market: Software; USA; Source: Crunchbase
Aldexa Therapeutics,neuronsystemsinc.com,$4.8M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Digital Performance,digitalperformance.com,$4.8M,closed,automotive,,Market: Automotive; USA; Source: Crunchbase
DGP Labs,dgplabs.com,$4.8M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
Eyetronics,eyetronics.com,$4.7M,closed,hardware + software,,Market: Hardware + Software; BEL; Source: Crunchbase
Big Live,biglive.com,$4.7M,closed,media,,Market: Video; USA; Source: Crunchbase
Trusted Opinion,trustedopinion.com,$4.7M,closed,social,,Market: Social Media; USA; Source: Crunchbase
SQFive Intelligent Oilfield Solutions,sqfive.ca,$4.7M,closed,saas,,Market: Software; CAN; Source: Crunchbase
DCWafers,dcwafers.com,$4.7M,closed,cleantech,,Market: Clean Technology; Source: Crunchbase
Moxsie,moxsie.com,$4.7M,closed,shopping,,Market: Shopping; USA; Source: Crunchbase
Cennox,cennoxplc.com,$4.7M,closed,fintech,,Market: Finance; GBR; Source: Crunchbase
Etelos,etelos.com,$4.7M,closed,web development,,Market: Web Development; USA; Source: Crunchbase
SafeTool,safetool.se,$4.7M,closed,security,,Market: Security; SWE; Source: Crunchbase
Knetwit Inc.,knetwit.com,$4.6M,closed,edtech,,Market: Education; USA; Source: Crunchbase
Apisphere,apisphere.com,$4.6M,closed,adtech,,Market: Advertising; USA; Source: Crunchbase
X2IMPACT,xplusone.net,$4.6M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
Aponia Laboratories,aponialaboratories.com,$4.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
IEC Technology Co,iectechnology.co.th,$4.5M,closed,public relations,,Market: Public Relations; THA; Source: Crunchbase
51 Auto,51auto.cn,$4.5M,closed,automotive,,Market: Automotive; Source: Crunchbase
Catalist Homes,catalisthomes.com,$4.5M,closed,proptech,,Market: Real Estate; USA; Source: Crunchbase
CEYX,ceyx.com,$4.5M,closed,saas,,Market: Software; USA; Source: Crunchbase
DanceJam,dancejam.com,$4.5M,closed,social,,Market: Social Media; USA; Source: Crunchbase
Hukkster,hukkster.com,$4.5M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
KnockaTV,knockatv.com,$4.5M,closed,gaming,,Market: Games; ISR; Source: Crunchbase
KODA,koda.us,$4.5M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
LoraxAg,loraxag.com,$4.5M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
Mumboe,mumboe.com,$4.5M,closed,saas,,Market: Software; USA; Source: Crunchbase
NanoPowers,nanopowers.ch,$4.5M,closed,healthtech,,Market: Health Care; CHE; Source: Crunchbase
Whitfield Solar,whitfieldsolar.com,$4.5M,closed,cleantech,,Market: Clean Technology; GBR; Source: Crunchbase
My True Fit,mytruefit.com,$4.4M,closed,ecommerce,,Market: E-Commerce; USA; Source: Crunchbase
Vizi Labs,vizilabs.com,$4.3M,closed,hardware + software,,Market: Hardware + Software; Source: Crunchbase
Respirics,respirics.com,$4.2M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
SIPP International Industries,sippiii.com,$4.2M,closed,hospitality,,Market: Hospitality; USA; Source: Crunchbase
That's Solar,thatssolar.com,$4.2M,closed,clean energy,,Market: Clean Energy; USA; Source: Crunchbase
Veratect,veratect.com,$4.2M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Space Pencil,spacepencil.com,$4.2M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
Rapid Mobile,rapid-mobile.com,$4.2M,closed,mobile,,Market: Mobile; GBR; Source: Crunchbase
AddFleet,addfleet.com,$4.2M,closed,mobile,,Market: Mobile; ESP; Source: Crunchbase
Local Marketers,localmarketers.com,$4.1M,closed,adtech,,Market: Advertising; USA; Source: Crunchbase
Nevo Energy,avepanochevalley.org,$4.1M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
Stonybrook Purification,stonybrookpure.com,$4.1M,closed,cleantech,,Market: Clean Technology; Source: Crunchbase
Snipi,snipi.com,$4.1M,closed,social buying,,Market: Social Buying; USA; Source: Crunchbase
AOI Medical,aoimedical.net,$4.0M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
Axis Semiconductor,axissemi.com,$4.0M,closed,hardware,,Market: Semiconductors; USA; Source: Crunchbase
PremiTech,premitech.com,$4.0M,closed,saas,,Market: Software; DNK; Source: Crunchbase
Athena Design Systems,athenadesign.com,$4.0M,closed,saas,,Market: Software; USA; Source: Crunchbase
Blue Vector Systems,bluevectorsystems.com,$4.0M,closed,public relations,,Market: Public Relations; USA; Source: Crunchbase
Entertainment Media Works,entmediaworks.com,$4.0M,closed,saas,,Market: Software; USA; Source: Crunchbase
Groxis,arnoldit.com,$4.0M,closed,saas,,Market: Enterprise Software; USA; Source: Crunchbase
IgnitAd,ignitad.com,$4.0M,closed,adtech,,Market: Advertising; ISR; Source: Crunchbase
itzbig,itzbig.com,$4.0M,closed,services,,Market: Consulting; USA; Source: Crunchbase
LegiTime Technologies,legitimetechnologies.com,$4.0M,closed,messaging,,Market: Messaging; USA; Source: Crunchbase
Linea,getlinea.com,$4.0M,closed,photography,,Market: Photography; USA; Source: Crunchbase
M2Z Networks,m2znetworks.com,$4.0M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
OneRoomRate.com,oneroomrate.com,$4.0M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
Prolify,prolify.com,$4.0M,closed,messaging,,Market: Messaging; ISR; Source: Crunchbase
PublicEarth,publicearth.com,$4.0M,closed,location based services,,Market: Location Based Services; USA; Source: Crunchbase
Quanlight,quanlight.com,$4.0M,closed,hardware,,Market: Semiconductors; Source: Crunchbase
RFinity,rfinity.com,$4.0M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
SkyData Systems,skydata.com,$4.0M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
Skyway Software,skywaysoftware.com,$4.0M,closed,saas,,Market: Software; USA; Source: Crunchbase
Smalltown,smalltown.com,$4.0M,closed,adtech,,Market: Advertising; USA; Source: Crunchbase
Utterz,utterz.com,$4.0M,closed,audio,,Market: Audio; USA; Source: Crunchbase
Vector City Racers,vectorcityracers.com,$4.0M,closed,gaming,,Market: Games; Source: Crunchbase
Virtual Telephone & Telegraph,geniusroom.com,$4.0M,closed,cloud computing,,Market: Cloud Computing; USA; Source: Crunchbase
Witel,witel.com,$4.0M,closed,mobile,,Market: Mobile; Source: Crunchbase
yoonew,yoonew.com,$4.0M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
Zlio,zlio.com,$4.0M,closed,ecommerce,,Market: E-Commerce; FRA; Source: Crunchbase
H2i Technologies,h2i-technologies.eu,$4.0M,closed,hardware + software,,Market: Hardware + Software; FRA; Source: Crunchbase
"Game Trading technologies, Inc.",gtti.com,$3.9M,closed,gaming,,Market: Games; USA; Source: Crunchbase
Shoutitout,myshoutitout.com,$3.9M,closed,microblogging,,Market: MicroBlogging; USA; Source: Crunchbase
Zubka,zubka.com,$3.9M,closed,services,,Market: Consulting; GBR; Source: Crunchbase
Virgin Play,virginplay.es,$3.9M,closed,gaming,,Market: Games; ESP; Source: Crunchbase
Celltrix,celltrix.se,$3.8M,closed,healthtech,,Market: Health Care; SWE; Source: Crunchbase
Lat49,lat49.com,$3.8M,closed,internet,,Market: Internet; CAN; Source: Crunchbase
mobileo,mobileo.de,$3.8M,closed,location based services,,Market: Location Based Services; DEU; Source: Crunchbase
DotBlu,dotblu.com,$3.8M,closed,gambling,,Market: Gambling; USA; Source: Crunchbase
Radiation Watch,radiation-watch.com,$3.8M,closed,other,,Source: Crunchbase
Adaptive Ozone Solutions,adaptiveozone.com,$3.8M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
mPortico,mportico.com,$3.8M,closed,mobile,,Market: Mobile; ISR; Source: Crunchbase
One Season,oneseason.com,$3.8M,closed,all markets,,Market: All Markets; USA; Source: Crunchbase
UpMo,upmo.com,$3.7M,closed,employment,,Market: Employment; USA; Source: Crunchbase
Smart Balloon,smartballoon.com,$3.6M,closed,gaming,,Market: Games; Source: Crunchbase
Canvas Networks,canv.as,$3.6M,closed,photography,,Market: Photography; Source: Crunchbase
DrawQuest,drawquest.com,$3.6M,closed,gaming,,Market: Games; Source: Crunchbase
Dmailer,support.dmailer.com,$3.6M,closed,saas,,Market: Software; FRA; Source: Crunchbase
Minekey,minekey.com,$3.6M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
Loud3r,loud3r.com,$3.5M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
ThermalTherapeuticSystems,thermaltherapeutics.com,$3.5M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
Proacta,proacta.com,$3.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
GATe Technology,gate-technology.com,$3.5M,closed,clean energy,,Market: Clean Energy; VNM; Source: Crunchbase
My Perfect Gig,home.myperfectgig.com,$3.5M,closed,services,,Market: Consulting; USA; Source: Crunchbase
Pipewise,pipewise.com,$3.5M,closed,crm,,Market: CRM; USA; Source: Crunchbase
Reffpedia,reffpedia.com,$3.5M,closed,web tools,,Market: Web Tools; Source: Crunchbase
Synovex,synovexcorp.com,$3.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
VC VISION,vcvision.net,$3.5M,closed,business services,,Market: Business Services; USA; Source: Crunchbase
Workstreamer,workstreamer.com,$3.5M,closed,saas,,Market: Enterprise Software; USA; Source: Crunchbase
Arctic Diagnostics,arcdia.fi,$3.5M,closed,healthtech,,Market: Health Care; FIN; Source: Crunchbase
Hi-Stor Technologies,histor.fr,$3.5M,closed,saas,,Market: Software; FRA; Source: Crunchbase
Silvigen,silvigen.co.uk,$3.5M,closed,cleantech,,Market: Clean Technology; GBR; Source: Crunchbase
24/7 Card,247card.com,$3.5M,closed,fintech,,Market: Finance; USA; Source: Crunchbase
Sim Ops Studios,simopsstudios.com,$3.4M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
Mobim,mobimtech.com,$3.4M,closed,mobile,,Market: Mobile; CHN; Source: Crunchbase
Platial,platial.com,$3.4M,closed,maps,,Market: Maps; USA; Source: Crunchbase
QderoPateo Communications,qpcmobility.com,$3.4M,closed,messaging,,Market: Messaging; CHN; Source: Crunchbase
Helix Therapeutics,helixtherapeutics.com,$3.4M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
EvoApp,evoapp.com,$3.4M,closed,customer service,,Market: Customer Service; USA; Source: Crunchbase
IronGate,iron-gate.net,$3.3M,closed,security,,Market: Security; ESP; Source: Crunchbase
Mosaic Biosciences,mosaicbio.com,$3.3M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
J&J Solutions,jjsolutionsinc.com,$3.3M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Beezag,beezag.com,$3.2M,closed,media,,Market: Video; USA; Source: Crunchbase
Monumental Games,monumentalgames.com,$3.2M,closed,gaming,,Market: Games; GBR; Source: Crunchbase
IT Trading,ittradingllc.com,$3.2M,closed,saas,,Market: Software; USA; Source: Crunchbase
NanoMas Technologies,nanomastech.com,$3.2M,closed,nanotechnology,,Market: Nanotechnology; USA; Source: Crunchbase
Ology Media,ology.com,$3.2M,closed,interest graph,,Market: Interest Graph; USA; Source: Crunchbase
Neopolitan Networks,neopolitan.com,$3.2M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
ProVision Communications,provision-comm.com,$3.2M,closed,hardware + software,,Market: Hardware + Software; GBR; Source: Crunchbase
Wakonda Technologies,wakondatech.com,$3.2M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
Lighter Living,lighterliving.com,$3.1M,closed,healthtech,,Market: Health and Wellness; USA; Source: Crunchbase
Nail Your Mortgage,nailyourmortgage.com,$3.1M,closed,banking,,Market: Banking; USA; Source: Crunchbase
Oncofactor Corporation,oncofactor.com,$3.1M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Funium,familyvillagegame.com,$3.0M,closed,gaming,,Market: Games; USA; Source: Crunchbase
Frankis Solutions Limited,frankissolutions.com,$3.0M,closed,other,,GBR; Source: Crunchbase
Paver Downes Associates,paverdownes.co.uk,$3.0M,closed,messaging,,Market: Messaging; GBR; Source: Crunchbase
C3L3B Digital,c3l3b.com,$3.0M,closed,gaming,,Market: Games; USA; Source: Crunchbase
California Interactive Technologies,calinteractive.com,$3.0M,closed,edtech,,Market: Education; USA; Source: Crunchbase
CDI Bioscience,cdibios.com,$3.0M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Conformity,conformity-inc.com,$3.0M,closed,saas,,Market: Enterprise Software; USA; Source: Crunchbase
Fundability,fundability.com,$3.0M,closed,ecommerce,,Market: E-Commerce; Source: Crunchbase
G.ho.st,g.ho.st,$3.0M,closed,cloud computing,,Market: Cloud Computing; ISR; Source: Crunchbase
Gecko Audio,geckoaudio.com,$3.0M,closed,saas,,Market: Software; USA; Source: Crunchbase
gopogo,gopogo.com,$3.0M,closed,social commerce,,Market: Social Commerce; USA; Source: Crunchbase
Hematris Wound Care,hematris.de,$3.0M,closed,biotech,,Market: Biotechnology; DEU; Source: Crunchbase
Illumix Software,illumix.com,$3.0M,closed,business intelligence,,Market: Business Intelligence; GBR; Source: Crunchbase
kidthing,kidthing.com,$3.0M,closed,kids,,Market: Kids; USA; Source: Crunchbase
Kynogon,kynogon.com,$3.0M,closed,saas,,Market: Software; FRA; Source: Crunchbase
LivingWell Health,lwhsolutions.com,$3.0M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
MaxxAthlete,maxxathlete.com,$3.0M,closed,curated web,,Market: Curated Web; Source: Crunchbase
MyFrontSteps,myfrontsteps.com,$3.0M,closed,curated web,,Market: Curated Web; CAN; Source: Crunchbase
Net Power Technology,netpowertech.com,$3.0M,closed,cleantech,,Market: Clean Technology; Source: Crunchbase
Phylogy,phylogy.com,$3.0M,closed,web hosting,,Market: Web Hosting; USA; Source: Crunchbase
Smallaa,smallaa.com,$3.0M,closed,social,,Market: Social Media; USA; Source: Crunchbase
Solar & Environmental Technologies,solar-etc.com,$3.0M,closed,cleantech,,Market: Clean Technology; CHN; Source: Crunchbase
TripOvation,tripovation.com,$3.0M,closed,travel,,Market: Travel; Source: Crunchbase
XenoOne,xenoone.com,$3.0M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
XVionics,xvionics.com,$3.0M,closed,saas,,Market: Enterprise Software; USA; Source: Crunchbase
Zenda Technologies,zendatech.com,$3.0M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Kinetic Global Markets,kinetictradingllc.com,$3.0M,closed,analytics,,Market: Analytics; USA; Source: Crunchbase
mmCHANNEL,mmchannel.com,$3.0M,closed,gaming,,Market: Games; ESP; Source: Crunchbase
Punch Entertainment,punch-entertainment.com,$2.9M,closed,social games,,Market: Social Games; USA; Source: Crunchbase
Adventi,adventi.com,$2.9M,closed,services,,Market: Consulting; GBR; Source: Crunchbase
Gioia Systems,gioiasystems.com,$2.9M,closed,gaming,,Market: Games; USA; Source: Crunchbase
adicate timeads,adicate.com,$2.9M,closed,adtech,,Market: Advertising; NOR; Source: Crunchbase
Revolt Technology,revolttechnology.com,$2.9M,closed,hardware + software,,Market: Hardware + Software; USA; Source: Crunchbase
PlasmaSi,plasmasi.com,$2.8M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
PeerPong,peerpong.com,$2.8M,closed,social search,,Market: Social Search; USA; Source: Crunchbase
SocialMatica,socialmatica.com,$2.8M,closed,saas,,Market: Software; USA; Source: Crunchbase
Slime Sandwich,slimesandwich.com,$2.8M,closed,gaming,,Market: Games; USA; Source: Crunchbase
Samares,samares.it,$2.7M,closed,cleantech,,Market: Clean Technology; ITA; Source: Crunchbase
Blackaeon International,blackaeon.uni.me,$2.7M,closed,robotics,,Market: Robotics; USA; Source: Crunchbase
Broadchoice,broadchoice.com,$2.7M,closed,file sharing,,Market: File Sharing; USA; Source: Crunchbase
REMOTV,remotv.com,$2.7M,closed,social,,Market: Social Media; USA; Source: Crunchbase
Zuujit,zuujit.com,$2.7M,closed,ecommerce,,Market: E-Commerce; USA; Source: Crunchbase
GoIP International,goipint.com,$2.6M,closed,messaging,,Market: Messaging; DNK; Source: Crunchbase
Txt4,txt4.com,$2.6M,closed,saas,,Market: Software; GBR; Source: Crunchbase
Biophytis,biophytis.com,$2.6M,closed,biotech,,Market: Biotechnology; FRA; Source: Crunchbase
CatchTheEye,catchtheeye.no,$2.6M,closed,adtech,,Market: Advertising; NOR; Source: Crunchbase
Cerona Networks,cerona.com,$2.6M,closed,public relations,,Market: Public Relations; USA; Source: Crunchbase
Devtap,devtap.com,$2.6M,closed,search,,Market: Search; USA; Source: Crunchbase
Grouply,grouply.com,$2.6M,closed,saas,,Market: Software; USA; Source: Crunchbase
skyrockit,skyrockit.com,$2.6M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
Broadcastr,getspun.com,$2.6M,closed,parenting,,Market: Parenting; USA; Source: Crunchbase
China Wi Max,chinawi-max.com,$2.6M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
ERUCES,eruces.com,$2.6M,closed,saas,,Market: Software; USA; Source: Crunchbase
LemonQuest,lemonquest.com,$2.5M,closed,portals,,Market: Portals; ESP; Source: Crunchbase
Manhattan Pharmaceuticals,manhattanpharma.com,$2.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Before the Call,beforethecall.com,$2.5M,closed,saas,,Market: Software; USA; Source: Crunchbase
iPractice Group,ipracticegroup.com,$2.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
SpectraFluidics,spectrafluidics.com,$2.5M,closed,hardware + software,,Market: Hardware + Software; USA; Source: Crunchbase
ADFLOW Health Networks,adflowhealth.com,$2.5M,closed,healthtech,,Market: Health and Wellness; USA; Source: Crunchbase
Digitrad Communications,callbyname.com,$2.5M,closed,databases,,Market: Databases; FRA; Source: Crunchbase
Generic Media,genericmedia.com,$2.5M,closed,saas,,Market: Software; USA; Source: Crunchbase
Grey Area,greyarealabs.com,$2.5M,closed,mobile games,,Market: Mobile Games; FIN; Source: Crunchbase
"Kibboko, Inc.",kibboko.com,$2.5M,closed,saas,,Market: Software; CAN; Source: Crunchbase
Logia Group,logiagroup.com,$2.5M,closed,mobile,,Market: Mobile; ISR; Source: Crunchbase
Netbyte Hosting,netbyteusa.com,$2.5M,closed,web hosting,,Market: Web Hosting; USA; Source: Crunchbase
